Canonical_Source,Canonical_Provenance_URI,Origin_Lists,Alias_Names,Consolidated_Disposition,Disposition_Code,Disposition_Rationale,Best_Current_License,Best_Current_Commercial_Safe,Best_Current_Attribution_Required,Observed_License_Claims,Observed_Commercial_Safe_Claims,Observed_Attribution_Claims,Merged_Notes
DOAB (Directory of Open Access Books),https://www.doabooks.org/en/resources/metadata-harvesting-and-content-dissemination,gemini_vetted,DOAB (Directory of Open Access Books),promote,verified_cc0_metadata,Keep; DOAB metadata feeds are explicitly CC0.,CC0 (metadata),Yes,No,CC0 (Metadata),Yes,No,Global aggregator of peer-reviewed open access books; highly structured metadata useful for discovering academic and open-science book awards.
Digital Public Library of America (DPLA),https://dp.la/info/developers,deepseek;gemini_vetted,Digital Public Library of America (DPLA),promote,verified_cc0,Keep; DPLA metadata policy dedicates metadata to CC0/public domain.,CC0,Yes,No,CC0,Yes,No,"A US national digital library that aggregates metadata from many institutions, with linked data potential. || Aggregates millions of records from US libraries; excellent REST API for tracking regional American literary and historical society awards."
Europeana API,https://pro.europeana.eu/page/apis,deepseek;gemini_vetted,Europeana API | Europeana Linked Open Data,promote,verified_cc0_with_requested_credit,"Keep; Europeana metadata is CC0, but credit to providers/aggregators is strongly requested.",CC0 (metadata),Yes,Requested/Best practice,CC0,Yes,No,"A vast cultural heritage aggregator. Its dataset includes millions of digital objects, many of which are books and may contain award-related metadata. || Aggregates metadata from thousands of European cultural institutions. All metadata is CC0, though linked digital objects vary."
HathiTrust Bibliographic API,https://www.hathitrust.org/bib_api,deepseek;gemini_vetted,HathiTrust Bibliographic API | HathiTrust Digital Library,promote,verified_cc0_with_requested_credit,"Keep; HathiTrust metadata is shared under CC0, but attribution is requested as community norm.",CC0,Yes,Requested/Best practice,CC0 | Unclear,Likely | Yes,Likely | No,"A large-scale collaborative repository of digital content from research libraries, with linked data capabilities. || Access to brief bibliographic records for millions of digitized volumes; useful for cross-referencing historic prize discovery."
IdRef (ABES France),https://www.idref.fr,deepseek;gemini_vetted,IdRef (ABES France) | IdRef (France),promote,verified_etalab,Keep; official IdRef says open reuse under Etalab and exposes triple store/OAI-PMH/APIs.,Etalab Open License,Yes,Yes,Etalab Open License,Yes,Yes,A major authority hub for French higher education and research. Its data is used in projects linking authors and their awards. || Francophone higher education authority file; an excellent complement to BnF for academic and scholarly awards.
LIBRIS Sweden,https://libris.kb.se,deepseek;gemini_vetted,LIBRIS (National Library of Sweden) | LIBRIS Sweden,promote,verified_cc0,Keep; official Libris docs say national bibliography and authority records are CC0.,CC0,Yes,No,CC0 | Unclear,Likely | Yes,Likely | No,"Pioneering library LOD; definitive source for Nordic prizes and comprehensive Nobel metadata. || The Swedish union catalog, which is transitioning to BIBFRAME-based linked data. It is a key source for Swedish publications and their associated awards."
National Library of New Zealand API,https://natlib.govt.nz/about-us/open-data,gemini_vetted,National Library of New Zealand API,promote,verified_dataset_specific_cc_by,"Keep as dataset-family entry, not a blanket source row; Publications NZ metadata is CC BY with attribution.",CC BY 3.0 NZ (Publications NZ metadata),Yes,Yes,CC BY,Yes,Yes,"Rich source for discovering Oceania, Māori, and Pacific literary awards; exposes metadata in structured formats."
Open Library,https://openlibrary.org/developers/api,deepseek;gemini_vetted,Open Library | Open Library (Award Data),promote,verified_cc0,"Keep; rewrite licence to CC0 per Open Library FAQ, not generic 'Public Domain'.",CC0,Yes,No,CC0 / ODC-By (Mixed) | Public Domain,Yes,No | No (for CC0),"Contains award data parsed from MARC records; strong for Anglosphere trade books and market discovery. || While not purely a linked data endpoint, Open Library's data dumps and APIs contain extensive award information for books. It is a major source for connecting works to awards like the Booker Prize."
OpenAIRE Graph,https://graph.openaire.eu,gemini_vetted,OpenAIRE Graph,promote,verified_cc_by_secondary,"Keep as secondary scholarly graph; CC-BY reuse with acknowledgement, not a direct prize registry.",CC-BY,Yes,Yes,CC BY,Yes,Yes,Massive open access European scholarly graph; highly effective for scraping structural data on academic monograph prizes and subsidized publication awards.
VIAF (Virtual International Authority File),https://viaf.org,deepseek;gemini_vetted,VIAF (Virtual International Authority File),promote,verified_odc_by,Keep; VIAF under ODC-By with attribution guidance; use mainly as identity bridge.,ODC-By,Yes,Yes,ODC-By,Yes,Yes,"An international authority file that aggregates authority data from many national libraries, crucial for linking authors and works to awards. || Essential for cross-walking national authority records; clusters representations of literary prizes and laureates globally."
lobid-gnd,https://lobid.org/gnd,gemini_vetted,lobid-gnd,promote,verified_cc0,Keep; lobid-gnd exposes CC0 GND data via JSON-LD API.,CC0,Yes,No,CC0,Yes,No,"Provides a highly accessible, developer-friendly JSON-LD API over the German Authority File (GND) for querying German-speaking world prizes."
Crossref,https://api.crossref.org,gemini_vetted,Crossref,conditional,crossref_open_but_not_blanket_cc0,"Keep; Crossref metadata is open and mostly unrestricted, but note nuance around abstracts and Crossref-generated data.",Open / mostly unrestricted; CC0 for Crossref-generated and OFR,Yes,No for core metadata,CC0,Yes,No,Massive REST API for scholarly books and monographs globally; funding and award nodes frequently surface academic book prizes.
DBpedia,https://www.dbpedia.org,deepseek;gemini_vetted,DBpedia,conditional,wikipedia_derived_sharealike,"Keep only as discovery layer, not core trust-tier source.",CC BY-SA / derived,Secondary only,Yes,CC BY-SA | CC BY-SA 3.0 / GNU FDL,Yes,Yes,"A massive, community-driven knowledge graph extracted from Wikipedia. Contains structured information on a vast number of awards. || Ideal for extracting structured data from Wikipedia category trees for prizes not yet fully modeled in Wikidata."
Enciclopedia de la Literatura en México (ELEM),http://www.elem.mx,gemini_vetted,Enciclopedia de la Literatura en México (ELEM),conditional,mixed_or_unclear_rights,"Useful reference pool, but mixed licensing means not core-safe without a tighter rights model.",Varies,Maybe,Yes,Varies,Maybe,Yes,Essential mapping source for Mexican book awards and literary academies; underlying facts and identifiers are highly valuable despite mixed text licensing.
ISNI,https://isni.org/page/data-sources,deepseek;gemini_vetted,ISNI | ISNI (International Standard Name Identifier),conditional,linked_data_lane_only,Do not keep blanket CC0/No attribution claim; treat as conditional until specific ISNI data lane is confirmed.,VERIFY lane-specific,Conditional,VERIFY,CC0 | Unclear,Likely | Yes,Likely | No,"An ISO standard for identifying public identities of contributors to creative works, useful for linking authors to awards. || Global standard for identifying public identities and organizations; critical for disambiguating award-granting bodies."
Library of Congress LDS,https://id.loc.gov,deepseek;gemini_vetted,LC Linked Data Service: Awards & Prizes | Library of Congress LDS,conditional,source_real_license_not_cleanly_captured_here,Do not keep 'Public Domain/No attribution' as final without explicit licence capture from an official rights page.,VERIFY,VERIFY,VERIFY,CC0 / Public Domain | Public Domain,Yes,No,Core Anglosphere name and subject authorities; standardizes English-language award names. || The Library of Congress offers a dedicated Linked Data vocabulary for awards and prizes. It includes specific authorities for winners of major literary awards like the PEN America Literary Award and Women's Prize for Fiction.
NDL Japan,https://id.ndl.go.jp,deepseek;seed,NDL Japan,conditional,conditional_commercial_application_required,Seed row indicates non-commercial default with commercial application required.,Free for non-commercial (Commercial requires application),Maybe,Yes,Free for non-commercial (Commercial requires application),Maybe,Yes,Best for East Asian discovery; needs application for bulk commercial use.
National Library of Scotland Data Foundry,https://data.nls.uk,gemini_vetted,National Library of Scotland Data Foundry,conditional,dataset_family_mixed_rights,"Keep as dataset-family source only; NLS Data Foundry rights vary by dataset, not blanket CC0.",Dataset-specific,Dataset-specific,Dataset-specific,CC0,Yes,No,Provides bulk metadata downloads in MARC/XML; vital for capturing Scottish literary history and regional Anglosphere awards.
Post45 Data Collective,https://data.post45.org,deepseek;gemini_vetted,Post45 Data Collective,conditional,open_license_required_but_dataset_specific,Keep as dataset family; individual Post45 datasets should be tracked dataset-by-dataset.,Dataset-specific open license,Yes,Dataset-specific,CC0 / CC BY | Varies (likely CC BY),Likely | Yes,Likely | Yes,"Curates datasets on post-1945 literature and culture, including specific sets on US and UK literary prizes and their winners. || Highly structured datasets for post-1945 Anglosphere literature; provides excellent reconciliation targets for contemporary literary awards and market data."
Project Gutenberg RDF,https://www.gutenberg.org/cache/epub/feeds/,deepseek;gemini_vetted,Project Gutenberg | Project Gutenberg RDF,conditional,public_domain_indirect,"Usable as historical indirect discovery support, but not a primary prize source.",Public Domain,Yes,No,Public Domain | Unclear,Likely | Yes,Likely | No,"A volunteer effort to digitize and archive cultural works, with potential linked data applications. || Provides bulk RDF/XML dumps; useful for historical baseline mapping of classic Anglosphere literature."
Trove API (NLA Australia),https://trove.nla.gov.au,deepseek;gemini_vetted,Trove | Trove API (NLA Australia),conditional,metadata_only_api_terms,"Keep as secondary/conditional; Trove API covers metadata only, requires API key, attribution, and has usage conditions.",Trove API metadata terms,Conditional,Yes,Unclear | Varies,Likely | Yes,Likely | Yes,"An Australian online library database aggregator, with linked data capabilities. || Essential node for Australian and Oceania literary awards; API requires registration for bulk data."
BNE Spain,https://datos.bne.es,deepseek;seed,BNE Spain | National Library of Spain (BNE),legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,"Provides a rich LOD dataset with millions of authority and bibliographic records, including award information. || Spanish national bibliography and Ibero-American awards."
BnF France,https://data.bnf.fr,deepseek;seed,Bibliothèque nationale de France (BnF) | BnF France,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,Etalab Open License,Yes,Yes,Etalab Open License,Yes,Yes,French national bibliography and literary prizes. || Publishes French national bibliography data and literary prize information in LOD format.
British Library,http://bnb.data.bl.uk,deepseek;seed,British Library,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,Open Government License,Yes,Yes,Open Government License,Yes,Yes,UK national bibliography (requires BL attribution).
CSIRO Australia,http://registry.it.csiro.au,deepseek;seed,CSIRO Australia,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,Creative Commons,Yes,Yes,Creative Commons,Yes,Yes,Australian STEM and research awards.
DNB GND,https://www.dnb.de/EN/Service/Metadatendienste/LinkedData/linkeddata_node.html,deepseek;seed,DNB GND | Deutsche Nationalbibliothek (DNB),legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,"German-speaking scholarly authority file. || The German National Library's linked data service, including the Integrated Authority File (GND), essential for German-language awards."
KB Netherlands,https://data.bibliotheken.nl,deepseek;seed,KB Netherlands,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Dutch national bibliography and scholarly prizes.
Nasjonalbiblioteket,https://www.nb.no,deepseek;seed,Nasjonalbiblioteket,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Norwegian national bibliography and awards.
OCLC FAST,https://www.oclc.org/research/themes/data-science/fast.html,deepseek;seed,OCLC FAST,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,ODC-By,Yes,Yes,ODC-By,Yes,Yes,Subject-based prize discovery identifiers.
OpenAlex,https://openalex.org,deepseek;seed,OpenAlex,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Global scholarly research graph.
OpenCitations,https://opencitations.net,deepseek;seed,OpenCitations,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Citation-linked funding and award metadata.
UNESCO,http://vocabularies.unesco.org,deepseek;seed,UNESCO,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC BY-SA,Yes,Yes,CC BY-SA,Yes,Yes,International educational and cultural prizes.
Wikidata,https://www.wikidata.org,deepseek;seed,Wikidata,legacy_seed,legacy_seed_not_reaudited,Carried forward from the seed list without additional re-audit in this consolidation.,CC0,Yes,No,CC0,Yes,No,Global general knowledge hub.
